cost,gate count,tqc3TT,tqc3RT,tqc3GC,tqc2TT,tqc2RT,tqc2GC,tqc1TT,tqc1RT,tqc1GC,tqc0TT,tqc0RT,tqc0GC
16,14,0.028729987144470216,0.10141003131866455,10.366666666666667,0.024546051025390626,0.10499246915181477,10.366666666666667,0.022177950541178385,0.10808813571929932,10.366666666666667,0.012534149487813314,0.10833770434061686,36.666666666666664
16,15,0.02713623841603597,0.09923484325408935,7.933333333333334,0.02091397444407145,0.10494138399759928,7.933333333333334,0.018924450874328612,0.10593857765197753,7.933333333333334,0.014983216921488443,0.11369625727335612,34.333333333333336
16,16,0.02516592343648275,0.09846699237823486,6.466666666666667,0.02143106460571289,0.10802849928538004,6.466666666666667,0.01680009365081787,0.10949621995290121,6.466666666666667,0.010746526718139648,0.10992608865102133,39.46666666666667
17,3,0.024732335408528646,0.10305771032969156,5.366666666666666,0.016322875022888185,0.1134829044342041,5.366666666666666,0.011957224210103352,0.10683854420979817,5.366666666666666,0.012569856643676759,0.10775487422943116,14.866666666666667
17,4,0.025400551160176595,0.10077125231424967,8.8,0.015104532241821289,0.10990692774454752,8.8,0.016400877634684244,0.1140241781870524,8.8,0.012428895632425944,0.10668304761250814,16.3
17,5,0.029948854446411134,0.10048556327819824,5.8,0.015080110232035319,0.10889511108398438,6.166666666666667,0.015443833669026692,0.10520273844401042,6.166666666666667,0.017105499903361004,0.1115225076675415,17.933333333333334
17,6,0.030892189343770346,0.10274407068888346,9.633333333333333,0.019953123728434243,0.10582508246103922,9.633333333333333,0.017650564511617024,0.10722773869832357,9.633333333333333,0.015305288632710775,0.10692782402038574,19.866666666666667
17,7,0.031021896998087564,0.09627066453297933,8.3,0.021317704518636068,0.10632214546203614,8.3,0.016242257754007974,0.1134491761525472,8.3,0.013094488779703777,0.10900043646494548,19.866666666666667
17,8,0.03399507999420166,0.09332098960876464,9.033333333333333,0.020638553301493327,0.10668153762817383,9.033333333333333,0.017963711420694986,0.10740319887797038,9.166666666666666,0.017618830998738608,0.11503318150838217,22.5
17,9,0.03318463961283366,0.10203781922658285,7.233333333333333,0.018885342280069987,0.1126008669535319,7.233333333333333,0.016602651278177897,0.11130260626475016,7.233333333333333,0.01621549129486084,0.11075480779012044,25.4
