cost,depth,tqc3TT,tqc3RT,tqc3Depth,tqc2TT,tqc2RT,tqc2Depth,tqc1TT,tqc1RT,tqc1Depth,tqc0TT,tqc0RT,tqc0Depth
95,2,0.0844632863998413,0.0895660161972045,9.3,0.0446230411529541,0.1116927623748779,11.8,0.031336236000061,0.1172572135925293,11.9,0.0181313753128051,0.1069595575332641,13.1
95,3,0.1120224475860595,0.1050798416137695,12.6,0.0542439699172973,0.1075556516647338,15.9,0.0348979711532592,0.1157570123672485,16.8,0.0205454111099243,0.119907808303833,19.7
95,4,0.1220563173294067,0.0892035961151123,12.9,0.0508296251296997,0.1145983934402465,17.1,0.0354558944702148,0.1185837268829345,16.6,0.0247063159942626,0.1079522609710693,20.2
95,5,0.0966176271438598,0.1012420177459716,12.0,0.037537407875061,0.1172162771224975,9.0,0.0279393672943115,0.1045958042144775,9.0,0.0271219491958618,0.1123115301132202,26.8
95,6,0.1173453092575073,0.1012216806411743,18.6,0.0461979389190673,0.1011564254760742,14.9,0.0338210582733154,0.1166360616683959,15.1,0.0229383945465087,0.10810227394104,18.7
95,7,0.0925661563873291,0.1030546426773071,14.5,0.035574722290039,0.1182612180709838,15.5,0.0288688421249389,0.1127699613571167,16.4,0.0207096815109252,0.1248852252960205,14.6
95,8,0.0471030235290527,0.0891652107238769,10.0,0.0372514486312866,0.098811674118042,4.0,0.0229560852050781,0.1009177923202514,4.0,0.0384604692459106,0.0922354459762573,25.0
95,9,0.1295089483261108,0.0979613065719604,20.2,0.0524155378341674,0.094949197769165,11.5,0.0569536685943603,0.0947851657867431,11.5,0.0296734809875488,0.1162073373794555,23.1
95,10,0.1032375574111938,0.0921671867370605,14.2,0.0551768541336059,0.1003139972686767,17.7,0.0298661947250366,0.1180162191390991,20.5,0.0213131189346313,0.107981252670288,19.7
95,11,0.1191099643707275,0.0862252712249755,11.2,0.061114501953125,0.1100788354873657,17.8,0.0474173784255981,0.1010171890258789,18.3,0.0332159280776977,0.1136303186416625,37.4
95,12,0.0732372522354126,0.1299249410629272,10.0,0.0410863637924194,0.1103382587432861,7.0,0.0312509536743164,0.1231232166290283,7.0,0.0353476047515869,0.1130497217178344,31.0
95,13,0.1621320009231567,0.110350227355957,19.2,0.0566184520721435,0.1252712965011596,18.4,0.042421555519104,0.1141509294509887,20.7,0.0291695117950439,0.1214876890182495,22.9
95,14,0.0834870338439941,0.0926406860351562,8.0,0.0362210273742675,0.0974547863006591,5.0,0.0317675113677978,0.1119948863983154,5.0,0.0468231678009033,0.0919375896453857,48.0
95,15,0.0603044986724853,0.0877725601196289,8.0,0.0330525159835815,0.1089525699615478,5.0,0.0294042587280273,0.0988192796707153,5.0,0.0321511268615722,0.1048375368118286,41.0
95,16,0.0806691169738769,0.0990254402160644,11.0,0.0432429552078247,0.1159112215042114,6.0,0.0323428630828857,0.1000252485275268,6.0,0.0199312686920166,0.1044798612594604,43.0
95,17,0.030936574935913,0.0941144943237304,2.0,0.0279171466827392,0.1112440586090088,2.0,0.026748514175415,0.1133308172225952,2.0,0.0165814876556396,0.0915998458862304,45.0
95,18,0.1244034528732299,0.1006900548934936,16.7,0.061492896080017,0.0970040321350097,14.0,0.0495603084564209,0.1164304971694946,14.4,0.0341924905776977,0.117918586730957,33.9
95,19,0.1436291694641113,0.0986121416091918,20.9,0.0591254711151123,0.0995292425155639,14.6,0.0474497318267822,0.1140107154846191,17.7,0.0331049919128417,0.114663290977478,33.3
95,20,0.0753020286560058,0.0881125211715698,10.0,0.0434804439544677,0.1082890748977661,8.0,0.0340144634246826,0.1016881704330444,8.0,0.0322373628616333,0.1184840679168701,39.0
95,21,0.1396425724029541,0.0845924854278564,18.0,0.0518083572387695,0.1002580404281616,18.6,0.0413640975952148,0.1159106016159057,21.6,0.0293975830078125,0.1153841495513916,35.0
95,22,0.1433578014373779,0.0843603134155273,15.6,0.0561146259307861,0.1099480390548706,13.6,0.0481209993362426,0.1172566413879394,14.1,0.0361386775970459,0.1054028034210205,43.6
