ActCost,Act Gate Count,sim Cost 0,sim Gate Count 0,sim Runtime 0,sim Transpile Time 0,sim Cost 1,sim Gate Count 1,sim Runtime 1,sim Transpile Time 1,sim Cost 2,sim Gate Count 2,sim Runtime 2,sim Transpile Time 2,sim Cost 3,sim Gate Count 3,sim Runtime 3,sim Transpile Time 3,Cost 0,Gate Count 0,Runtime 0,Transpile Time 0,Qubits 0,Cost 1,Gate Count 1,Runtime 1,Transpile Time 1,Qubits 1,Cost 2,Gate Count 2,Runtime 2,Transpile Time 2,Qubits 2,Cost 3,Gate Count 3,Runtime 3,Transpile Time 3,Qubits 3
7,5,17.0,17.0,0.1074085781577821,0.0080204010009765,7.0,7.0,0.1035420847382193,0.0110352039337158,7.0,7.0,0.0991033126606982,0.0145254135131835,7.0,7.0,0.0946764169655981,0.0185320377349853,17.0,17.0,0.0637001991271972,0.0070159435272216,"{0: 10, 3: 3, 5: 3, 4: 1}",7.0,7.0,0.0861103534698486,0.0120160579681396,"{3: 3, 5: 3, 4: 1}",7.0,7.0,0.0830774307250976,0.0133640766143798,"{4: 3, 5: 3, 3: 1}",7.0,7.0,0.0797262191772461,0.0173132419586181,"{1: 3, 2: 3, 3: 1}"
7,6,12.0,12.0,0.1076540767912378,0.0060155391693115,7.0,7.0,0.1034729374350291,0.008028507232666,7.0,7.0,0.0990960804592148,0.0142109394073486,7.0,7.0,0.0946532234763828,0.0175235271453857,12.0,12.0,0.0677084922790527,0.0070071220397949,"{5: 5, 0: 3, 4: 3, 3: 1}",7.0,7.0,0.0801715850830078,0.0120136737823486,"{0: 3, 5: 2, 3: 1, 4: 1}",7.0,7.0,0.0816149711608886,0.0155031681060791,"{0: 3, 2: 2, 1: 1, 3: 1}",7.0,7.0,0.0807151794433593,0.0155613422393798,"{4: 3, 6: 2, 3: 1, 5: 1}"
7,7,19.0,19.0,0.1071996443235969,0.004007339477539,8.0,8.0,0.1033915982100193,0.0070276260375976,8.0,8.0,0.098999432434704,0.0125443935394287,8.0,8.0,0.0945499738062419,0.0155699253082275,19.0,19.0,0.0673303604125976,0.0080218315124511,"{6: 6, 4: 5, 5: 5, 0: 1, 2: 1, 3: 1}",8.0,8.0,0.0783154964447021,0.0120279788970947,"{4: 2, 5: 2, 0: 1, 2: 1, 3: 1, 6: 1}",8.0,8.0,0.1857023239135742,0.01300048828125,"{5: 2, 6: 2, 0: 1, 1: 1, 3: 1, 4: 1}",8.0,8.0,0.0841865539550781,0.0180697441101074,"{5: 2, 6: 2, 0: 1, 1: 1, 3: 1, 4: 1}"
8,3,28.0,12.0,0.1084082190126558,0.0087614059448242,10.0,6.0,0.1037502349544065,0.0100386142730712,10.0,6.0,0.099230954602146,0.0100281238555908,10.0,6.0,0.0949644284513884,0.021008014678955,28.0,12.0,0.0652337074279785,0.007225751876831,"{'5': 5, '6': 3, '5,6': 2, '6,5': 1, '5,4': 1}",10.0,6.0,0.0832223892211914,0.0127069950103759,"{'0': 3, '1': 2, '1,3': 1}",10.0,6.0,0.0807783603668212,0.0129420757293701,"{'0': 3, '1': 2, '1,3': 1}",10.0,6.0,0.0808115005493164,0.0225684642791748,"{'6': 3, '5': 2, '5,3': 1}"
8,4,12.0,12.0,0.107665448728976,0.0065100193023681,12.0,12.0,0.1030893361034964,0.0040283203125,12.0,12.0,0.0987426964607945,0.0115246772766113,12.0,12.0,0.0942807089616806,0.014005422592163,12.0,12.0,0.0626757144927978,0.0050194263458251,"{1: 3, 3: 3, 4: 3, 5: 3}",12.0,12.0,0.0796999931335449,0.0055131912231445,"{1: 3, 3: 3, 4: 3, 5: 3}",12.0,12.0,0.0830411911010742,0.0104837417602539,"{0: 3, 1: 3, 2: 3, 3: 3}",12.0,12.0,0.0852713584899902,0.0166122913360595,"{0: 3, 1: 3, 2: 3, 3: 3}"
8,5,15.0,15.0,0.1075253905233371,0.0080277919769287,6.0,6.0,0.1035309460934642,0.0080149173736572,6.0,6.0,0.0991853153401277,0.0155551433563232,6.0,6.0,0.0946775823846254,0.0160467624664306,15.0,15.0,0.0641791820526123,0.0050077438354492,"{2: 6, 5: 5, 4: 3, 0: 1}",6.0,6.0,0.0827016830444336,0.0115320682525634,"{4: 3, 5: 2, 0: 1}",6.0,6.0,0.0769486427307128,0.0150122642517089,"{6: 3, 3: 2, 4: 1}",6.0,6.0,0.0718741416931152,0.0185368061065673,"{4: 3, 3: 2, 6: 1}"
8,6,14.0,14.0,0.1075834046648666,0.008014440536499,3.0,3.0,0.1037991332485082,0.0120685100555419,3.0,3.0,0.099313979675651,0.0135419368743896,3.0,3.0,0.0948528859209206,0.0160615444183349,14.0,14.0,0.0631999969482421,0.0080313682556152,"{3: 6, 6: 6, 0: 1, 2: 1}",3.0,3.0,0.0838603973388671,0.0115368366241455,"{0: 1, 2: 1, 3: 1}",3.0,3.0,0.0828328132629394,0.0138442516326904,"{1: 1, 2: 1, 3: 1}",3.0,3.0,0.0807404518127441,0.0162382125854492,"{3: 1, 4: 1, 5: 1}"
8,7,21.0,21.0,0.1071754688375438,0.0080280303955078,8.0,8.0,0.1034995384059277,0.011721134185791,8.0,8.0,0.0990688374433298,0.0155622959136962,8.0,8.0,0.094657924968339,0.0202639102935791,21.0,21.0,0.063882827758789,0.0060327053070068,"{4: 6, 5: 6, 1: 5, 3: 3, 6: 1}",8.0,8.0,0.0835816860198974,0.0140352249145507,"{3: 3, 1: 2, 4: 1, 5: 1, 6: 1}",8.0,8.0,0.0807466506958007,0.0158858299255371,"{5: 3, 2: 2, 0: 1, 1: 1, 3: 1}",8.0,8.0,0.0797946453094482,0.0160644054412841,"{5: 3, 0: 2, 1: 1, 2: 1, 3: 1}"
8,8,24.0,24.0,0.1092476034400229,0.1057374477386474,8.0,8.0,0.1034606797160769,0.0100314617156982,8.0,8.0,0.0990111991552373,0.0130560398101806,8.0,8.0,0.0945616473141708,0.0160775184631347,24.0,24.0,0.066927433013916,0.003509521484375,"{2: 7, 0: 6, 5: 5, 6: 5, 1: 1}",8.0,8.0,0.0822453498840332,0.0114994049072265,"{2: 2, 5: 2, 6: 2, 0: 1, 1: 1}",8.0,8.0,0.0812118053436279,0.0159308910369873,"{2: 2, 3: 2, 5: 2, 0: 1, 1: 1}",8.0,8.0,0.0802376270294189,0.0165495872497558,"{1: 2, 3: 2, 6: 2, 4: 1, 5: 1}"
9,3,56.0,16.0,0.1091367610724785,0.0055148601531982,5.0,1.0,0.1039493630587147,0.0060174465179443,5.0,1.0,0.0995343327798467,0.0105400085449218,5.0,1.0,0.0952141819660808,0.0191881656646728,56.0,16.0,0.0639286041259765,0.0075342655181884,"{'0': 6, '0,1': 2, '1,3': 2, '5,6': 2, '1,0': 1, '3,1': 1, '6,5': 1, '5,3': 1}",5.0,1.0,0.0757296085357666,0.0090343952178955,"{'5,3': 1}",5.0,1.0,0.0806548595428466,0.0110199451446533,"{'1,3': 1}",5.0,1.0,0.0879178047180175,0.012038230895996,"{'1,3': 1}"
9,4,14.0,10.0,0.1079209265357517,0.005035400390625,9.0,5.0,0.1038552172823706,0.0120675563812255,9.0,5.0,0.0994171031761748,0.0155863761901855,9.0,5.0,0.0950008885489214,0.0200574398040771,14.0,10.0,0.0673401355743408,0.0050256252288818,"{'6': 8, '3': 1, '3,5': 1}",9.0,5.0,0.0811481475830078,0.0115554332733154,"{'6': 3, '3': 1, '3,5': 1}",9.0,5.0,0.0802016258239746,0.0138165950775146,"{'6': 3, '5': 1, '5,3': 1}",9.0,5.0,0.0812866687774658,0.0200724601745605,"{'6': 3, '5': 1, '5,3': 1}"
