Cost,Gate Count,Optimization Level,Runtime,Transpile Time
31,19,2,0.08657240867614746,0.03647971153259277
31,19,1,0.09230947494506836,0.03099513053894043
247,211,0,0.09417295455932617,0.03664731979370117
31,19,3,0.0806741714477539,0.04904294013977051
23,11,2,0.09447979927062988,0.033507585525512695
23,11,1,0.09044456481933594,0.03100442886352539
241,193,0,0.09424996376037598,0.03452897071838379
52,36,3,0.07995414733886719,0.06795239448547363
38,22,2,0.08397817611694336,0.039057254791259766
38,22,1,0.08066248893737793,0.16722321510314941
302,226,0,0.09043765068054199,0.033833980560302734
60,44,3,0.07659506797790527,0.08777642250061035
30,14,2,0.08983564376831055,0.03167223930358887
34,18,1,0.09447550773620605,0.033849239349365234
310,222,0,0.09484410285949707,0.03696107864379883
34,22,3,0.07584047317504883,0.05397844314575195
28,16,2,0.08745884895324707,0.036032676696777344
28,16,1,0.09067392349243164,0.030359745025634766
262,214,0,0.09419107437133789,0.035785675048828125
47,31,3,0.07665538787841797,0.06677627563476562
28,12,2,0.087493896484375,0.03184175491333008
28,12,1,0.08529305458068848,0.02853989601135254
276,212,0,0.08797454833984375,0.03701591491699219
40,28,3,0.09329533576965332,0.06554436683654785
34,22,2,0.08442950248718262,0.036994218826293945
34,22,1,0.08849787712097168,0.031337738037109375
240,192,0,0.08748078346252441,0.03501248359680176
40,32,3,0.09201455116271973,0.07085156440734863
26,18,2,0.2484416961669922,0.040441274642944336
28,20,1,0.09685087203979492,0.03435373306274414
300,244,0,0.10909342765808105,0.0425877571105957
13,13,3,0.08549833297729492,0.029817819595336914
13,13,2,0.09164237976074219,0.03495216369628906
13,13,1,0.0983729362487793,0.03388810157775879
239,239,0,0.09887981414794922,0.02248549461364746
32,20,3,0.10673093795776367,0.057286739349365234
23,11,2,0.11819791793823242,0.03699779510498047
23,11,1,0.0959162712097168,0.030136585235595703
234,198,0,0.0954434871673584,0.03953361511230469
36,28,3,0.09025955200195312,0.07306361198425293
24,16,2,0.10592532157897949,0.04021644592285156
24,16,1,0.10565042495727539,0.03503251075744629
279,199,0,0.10160231590270996,0.045679330825805664
38,30,3,0.0769038200378418,0.0678243637084961
23,15,2,0.09727883338928223,0.034516334533691406
23,15,1,0.09363770484924316,0.03155088424682617
291,223,0,0.08965206146240234,0.03547239303588867
24,20,3,0.07516765594482422,0.03849530220031738
15,11,2,0.08650851249694824,0.032356977462768555
