tqc3,tqc2,tqc1,tqc0,sim
"{'1000000': 501, '0000000': 523}","{'0000000': 502, '1000000': 522}","{'1000000': 524, '0000000': 500}","{'0000000': 547, '1000000': 477}","{'1000000': 513, '0000000': 511}"
"{'0000000': 1007, '1000000': 17}","{'0000000': 1003, '1000000': 21}","{'0000000': 1006, '1000000': 18}","{'0000000': 1010, '1000000': 14}",{'0000000': 1024}
"{'1000000': 479, '0000000': 545}","{'0000000': 511, '1000000': 513}","{'0000000': 530, '1000000': 494}","{'0000000': 540, '1000000': 484}","{'0000000': 518, '1000000': 506}"
"{'0000000': 1013, '1000000': 11}","{'0000000': 1007, '1000000': 17}","{'0000000': 1006, '1000000': 18}","{'0000000': 1013, '1000000': 11}",{'0000000': 1024}
"{'1000000': 517, '0000000': 507}","{'0000000': 524, '1000000': 500}","{'0000000': 535, '1000000': 489}","{'0000000': 545, '1000000': 479}","{'0000000': 525, '1000000': 499}"
"{'0000000': 49, '1000000': 975}","{'1000000': 975, '0000000': 49}","{'0000000': 1011, '1000000': 13}","{'0000000': 999, '1000000': 25}",{'0000000': 1024}
"{'1000000': 521, '0000000': 503}","{'0000000': 509, '1000000': 515}","{'1000000': 493, '0000000': 531}","{'1000000': 503, '0000000': 521}","{'0000000': 506, '1000000': 518}"
"{'1000000': 984, '0000000': 40}","{'1000000': 977, '0000000': 47}","{'1000000': 983, '0000000': 41}","{'1000000': 990, '0000000': 34}",{'1000000': 1024}
"{'1000000': 504, '0000000': 520}","{'0000000': 510, '1000000': 514}","{'1000000': 509, '0000000': 515}","{'1000000': 529, '0000000': 495}","{'1000000': 519, '0000000': 505}"
"{'0000000': 1004, '1000000': 20}","{'1000000': 979, '0000000': 45}","{'0000000': 1010, '1000000': 14}","{'0000000': 1002, '1000000': 22}",{'0000000': 1024}
"{'0000000': 529, '1000000': 495}","{'1000000': 490, '0000000': 534}","{'1000000': 482, '0000000': 542}","{'1000000': 510, '0000000': 514}","{'1000000': 528, '0000000': 496}"
"{'0000000': 1009, '1000000': 15}","{'0000000': 1002, '1000000': 22}","{'0000000': 1012, '1000000': 12}","{'0000000': 1010, '1000000': 14}",{'0000000': 1024}
"{'0000000': 541, '1000000': 483}","{'1000000': 498, '0000000': 526}","{'0000000': 550, '1000000': 474}","{'0000000': 529, '1000000': 495}","{'0000000': 529, '1000000': 495}"
"{'1000000': 969, '0000000': 55}","{'0000000': 1009, '1000000': 15}","{'0000000': 1005, '1000000': 19}","{'0000000': 1012, '1000000': 12}",{'0000000': 1024}
"{'0000000': 533, '1000000': 491}","{'1000000': 492, '0000000': 532}","{'1000000': 513, '0000000': 511}","{'0000000': 549, '1000000': 475}","{'0000000': 523, '1000000': 501}"
"{'0000000': 1009, '1000000': 15}","{'0000000': 1004, '1000000': 20}","{'1000000': 982, '0000000': 42}","{'1000000': 974, '0000000': 50}",{'1000000': 1024}
"{'0000000': 538, '1000000': 486}","{'1000000': 499, '0000000': 525}","{'1000000': 508, '0000000': 516}","{'1000000': 494, '0000000': 530}","{'0000000': 495, '1000000': 529}"
"{'1000000': 977, '0000000': 47}","{'1000000': 967, '0000000': 57}","{'0000000': 1015, '1000000': 9}","{'0000000': 1012, '1000000': 12}",{'0000000': 1024}
"{'1000000': 532, '0000000': 492}","{'1000000': 473, '0000000': 551}","{'1000000': 498, '0000000': 526}","{'0000000': 521, '1000000': 503}","{'1000000': 501, '0000000': 523}"
"{'1000000': 978, '0000000': 46}","{'1000000': 979, '0000000': 45}","{'1000000': 975, '0000000': 49}","{'1000000': 973, '0000000': 51}",{'1000000': 1024}
"{'1000000': 476, '0000000': 548}","{'0000000': 535, '1000000': 489}","{'1000000': 497, '0000000': 527}","{'1000000': 475, '0000000': 549}","{'1000000': 517, '0000000': 507}"
"{'1000000': 985, '0000000': 39}","{'0000000': 1000, '1000000': 24}","{'1000000': 983, '0000000': 41}","{'1000000': 985, '0000000': 39}",{'1000000': 1024}
"{'0000000': 498, '1000000': 526}","{'1000000': 488, '0000000': 536}","{'1000000': 542, '0000000': 482}","{'0000000': 531, '1000000': 493}","{'0000000': 523, '1000000': 501}"
"{'1000000': 983, '0000000': 41}","{'0000000': 1013, '1000000': 11}","{'0000000': 1006, '1000000': 18}","{'0000000': 1006, '1000000': 18}",{'0000000': 1024}
"{'0000000': 572, '1000000': 452}","{'1000000': 512, '0000000': 512}","{'0000000': 523, '1000000': 501}","{'0000000': 567, '1000000': 457}","{'0000000': 508, '1000000': 516}"
"{'0000000': 1006, '1000000': 18}","{'0000000': 1006, '1000000': 18}","{'0000000': 1008, '1000000': 16}","{'0000000': 1012, '1000000': 12}",{'0000000': 1024}
"{'0000000': 522, '1000000': 502}","{'1000000': 481, '0000000': 543}","{'1000000': 502, '0000000': 522}","{'0000000': 544, '1000000': 480}","{'0000000': 501, '1000000': 523}"
"{'0000000': 1008, '1000000': 16}","{'0000000': 1011, '1000000': 13}","{'0000000': 1009, '1000000': 15}","{'0000000': 1005, '1000000': 19}",{'0000000': 1024}
"{'1000000': 497, '0000000': 527}","{'1000000': 539, '0000000': 485}","{'0000000': 522, '1000000': 502}","{'0000000': 521, '1000000': 503}","{'1000000': 500, '0000000': 524}"
"{'1000000': 985, '0000000': 39}","{'1000000': 983, '0000000': 41}","{'1000000': 990, '0000000': 34}","{'1000000': 976, '0000000': 48}",{'1000000': 1024}
"{'1000000': 478, '0000000': 546}","{'0000000': 499, '1000000': 525}","{'1000000': 480, '0000000': 544}","{'0000000': 554, '1000000': 470}","{'1000000': 505, '0000000': 519}"
"{'1000000': 974, '0000000': 50}","{'1000000': 992, '0000000': 32}","{'1000000': 987, '0000000': 37}","{'1000000': 984, '0000000': 40}",{'1000000': 1024}
"{'1000000': 497, '0000000': 527}","{'0000000': 510, '1000000': 514}","{'1000000': 494, '0000000': 530}","{'1000000': 497, '0000000': 527}","{'1000000': 502, '0000000': 522}"
"{'0000000': 1004, '1000000': 20}","{'0000000': 1009, '1000000': 15}","{'0000000': 1007, '1000000': 17}","{'0000000': 1008, '1000000': 16}",{'0000000': 1024}
"{'0000000': 560, '1000000': 464}","{'0000000': 514, '1000000': 510}","{'0000000': 535, '1000000': 489}","{'1000000': 519, '0000000': 505}","{'1000000': 520, '0000000': 504}"
"{'0000000': 1006, '1000000': 18}","{'1000000': 974, '0000000': 50}","{'1000000': 986, '0000000': 38}","{'1000000': 978, '0000000': 46}",{'1000000': 1024}
"{'1000000': 495, '0000000': 529}","{'1000000': 500, '0000000': 524}","{'1000000': 506, '0000000': 518}","{'1000000': 496, '0000000': 528}","{'1000000': 529, '0000000': 495}"
"{'0000000': 1004, '1000000': 20}","{'0000000': 1014, '1000000': 10}","{'0000000': 43, '1000000': 981}","{'1000000': 984, '0000000': 40}",{'1000000': 1024}
"{'0000000': 526, '1000000': 498}","{'0000000': 531, '1000000': 493}","{'1000000': 515, '0000000': 509}","{'1000000': 509, '0000000': 515}","{'0000000': 492, '1000000': 532}"
"{'1000000': 975, '0000000': 49}","{'1000000': 974, '0000000': 50}","{'1000000': 980, '0000000': 44}","{'1000000': 979, '0000000': 45}",{'1000000': 1024}
"{'1000000': 490, '0000000': 534}","{'0000000': 520, '1000000': 504}","{'0000000': 534, '1000000': 490}","{'1000000': 495, '0000000': 529}","{'0000000': 518, '1000000': 506}"
"{'0000000': 1013, '1000000': 11}","{'0000000': 1004, '1000000': 20}","{'1000000': 1002, '0000000': 22}","{'1000000': 970, '0000000': 54}",{'1000000': 1024}
"{'0000000': 555, '1000000': 469}","{'1000000': 519, '0000000': 505}","{'1000000': 509, '0000000': 515}","{'1000000': 485, '0000000': 539}","{'1000000': 537, '0000000': 487}"
"{'0000000': 1014, '1000000': 10}","{'0000000': 1010, '1000000': 14}","{'0000000': 998, '1000000': 26}","{'0000000': 1004, '1000000': 20}",{'0000000': 1024}
"{'1000000': 547, '0000000': 477}","{'0000000': 524, '1000000': 500}","{'1000000': 478, '0000000': 546}","{'1000000': 518, '0000000': 506}","{'0000000': 527, '1000000': 497}"
