Cost,Depth,Selected Optimization Level,time0,depth0,time1,depth1,time2,depth2,time3,depth3,Actual Optimization Level,Time Difference
43,30,2,5.326504468917847,61,5.332209348678589,5,5.818752288818359,5,5.206334114074707,9,1,199.9645244350501
30,25,1,5.1973183155059814,63,5.262933731079102,3,5.078961133956909,3,5.405460596084595,3,2,199.9721140468476
21,5,1,5.2505271434783936,9,5.033447027206421,5,5.38476037979126,5,5.639862298965454,5,1,199.96529027533145
52,41,1,5.316880226135254,70,5.707468509674072,6,5.328049659729004,6,5.32581639289856,11,1,199.96506390750636
89,52,2,5.381273031234741,134,5.2095019817352295,7,5.236506223678589,7,5.243732929229736,10,1,199.9724179364152
52,5,1,5.4913904666900635,18,5.118131399154663,5,5.28378963470459,5,5.836548566818237,5,1,199.96018465164963
30,19,2,5.164330244064331,46,5.66173529624939,6,5.326744556427002,5,5.290710687637329,10,2,199.97099831665835
70,32,2,5.159399032592773,68,5.263436794281006,12,5.25437068939209,11,5.238330364227295,13,2,199.9604139960304
87,64,2,5.385531425476074,98,5.131564378738403,8,5.533816576004028,7,5.04513955116272,13,2,199.9650313639323
21,7,1,5.788127660751343,10,5.234621286392212,7,5.615718841552734,5,5.315603971481323,5,2,199.9687107055345
81,25,1,5.259713172912598,31,5.417177200317383,22,5.433528661727905,17,5.981199741363525,13,3,199.96403371974895
79,77,1,5.253345727920532,153,5.285160064697266,1,5.204974174499512,1,5.158005952835083,1,3,199.95528223054538
91,81,3,5.083181619644165,213,5.131888151168823,7,5.290401220321655,6,5.147351264953613,10,2,199.95989975705376
10,6,2,5.584092140197754,14,5.119700908660889,2,5.210099220275879,2,5.2803778648376465,2,1,199.96600401434054
8,6,0,5.3893067836761475,22,5.448396921157837,1,5.229546308517456,1,5.04353928565979,1,3,199.9602810311329
89,45,3,5.127795696258545,79,5.653525352478027,18,5.113576173782349,15,5.120000123977661,13,3,199.9697655293771
87,21,1,5.98099684715271,31,5.313541412353516,8,5.3080058097839355,8,5.455834865570068,9,2,199.96420618763298
37,11,2,5.3762452602386475,21,5.29116415977478,3,5.150771141052246,3,5.703170299530029,3,2,199.96875362904788
91,71,2,5.208231449127197,100,5.171078443527222,10,5.2631237506866455,10,5.3723533153533936,16,1,199.9838580079159
45,40,3,5.105913400650024,69,5.29345703125,4,5.245417356491089,4,5.254377126693726,10,1,199.9651620305795
69,67,3,5.178099632263184,123,5.265252351760864,2,5.1893532276153564,2,5.260029554367065,2,1,199.99896138571756
30,8,1,5.452974557876587,18,5.812875270843506,11,5.197215557098389,10,5.2406511306762695,6,3,199.96003559979474
83,47,0,5.219356298446655,101,5.2517170906066895,27,5.277948617935181,19,5.348798990249634,22,2,199.95336468339352
32,14,2,5.482957124710083,26,5.12141227722168,15,5.313036918640137,10,5.339871644973755,12,2,199.9602811980576
94,92,3,5.247777462005615,204,5.249574899673462,1,5.286609649658203,1,5.683125257492065,1,1,199.96521781749252
37,5,2,5.49547553062439,13,5.187383413314819,4,7.667876720428467,4,6.129490852355957,4,1,199.99081947331564
45,6,1,5.260380029678345,16,5.131105661392212,5,5.275592565536499,5,7.211805820465088,5,1,199.98988285491833
15,12,2,5.730737924575806,26,5.560473918914795,3,5.421127557754517,3,5.966778755187988,3,2,199.97136451043284
48,35,2,6.083688259124756,89,5.388097286224365,5,5.715899229049683,4,5.2499494552612305,10,2,199.966514243212
58,34,2,5.678224325180054,48,5.20446515083313,13,5.248728513717651,10,5.254557371139526,13,2,199.96455569461455
24,5,0,5.714194297790527,17,5.419651985168457,5,6.209218502044678,5,5.741510629653931,5,1,199.9601573559075
28,10,2,5.64018988609314,27,5.332663297653198,8,5.335031032562256,8,5.2562034130096436,11,1,199.96961297910642
13,10,1,5.510654926300049,16,5.4554362297058105,3,5.620471000671387,3,5.3446245193481445,3,3,199.96408463596407
65,9,1,5.177371025085449,31,5.221068382263184,3,5.605938911437988,3,5.304196834564209,8,1,199.95986671706035
37,10,2,5.177218675613403,21,5.478928565979004,11,5.781772136688232,11,5.321361064910889,7,3,199.95089291984252
45,18,2,5.387547254562378,30,5.19425630569458,14,5.490618467330933,13,5.3185577392578125,13,2,199.9638489944497
70,48,1,5.1564247608184814,96,5.021939277648926,6,5.026495933532715,4,5.267976999282837,10,2,199.95826551010697
71,67,3,5.247726917266846,175,5.159638404846191,0,5.419697284698486,0,5.102671384811401,0,3,199.96407751310562
79,70,2,5.3099682331085205,200,5.23605751991272,3,5.2745771408081055,3,5.260003089904785,3,1,199.98857687468922
80,25,0,5.103155612945557,52,5.460513353347778,10,5.274220943450928,10,5.182029724121094,14,1,199.95929485714646
78,50,2,5.635349273681641,99,5.5440239906311035,11,5.3127992153167725,10,5.748648643493652,13,2,199.98840399610236
65,11,2,5.193593740463257,24,5.255753993988037,8,5.063869953155518,8,5.917307376861572,11,2,199.97116916146146
70,12,2,5.35942816734314,42,5.079815149307251,7,5.169349193572998,6,5.183043718338013,10,2,199.97241257253407
79,28,0,5.498607397079468,57,5.694927215576172,7,5.067232608795166,6,6.527468204498291,12,2,199.99628773717953
49,37,1,5.700451374053955,46,5.311624526977539,8,5.361266613006592,8,5.61701774597168,10,1,199.99345792489137
59,44,2,5.596342325210571,102,5.631868600845337,4,5.1304168701171875,4,5.084060192108154,10,2,199.9752597923018
94,75,2,5.432894706726074,91,5.2281413078308105,10,5.327836751937866,9,5.4352638721466064,17,2,199.96578475292034
32,23,1,5.244890213012695,53,5.30759596824646,3,5.41709566116333,3,5.43732762336731,3,1,199.97668818816288
32,2,2,5.099466562271118,6,5.339393377304077,8,5.328041315078735,7,5.266516208648682,6,0,199.97350408027378
77,34,1,5.464264392852783,51,5.5006396770477295,20,5.208385705947876,14,5.349498510360718,20,2,199.97613470559168
73,35,1,5.16533350944519,75,5.013820171356201,9,5.064297199249268,9,5.216978549957275,14,1,199.9785083849288
66,57,1,5.78729510307312,121,5.877769470214844,8,5.0874292850494385,7,5.307891845703125,10,2,199.97151654310957
37,17,2,5.242054462432861,37,4.996199607849121,3,5.547549247741699,3,5.038964748382568,3,1,199.97482204868783
7,4,1,5.614293098449707,10,5.146095037460327,3,5.650628328323364,3,5.281183481216431,3,1,199.98321405362717
56,45,1,5.265402793884277,108,5.614392042160034,6,5.140137195587158,6,5.096089124679565,10,1,199.98601757082713
34,16,2,5.649193525314331,35,5.739347696304321,6,5.432964324951172,6,5.164189338684082,16,2,199.96887397316084
33,16,2,5.733122110366821,24,6.353113651275635,9,5.3965840339660645,9,5.444281816482544,9,2,199.96729439502056
20,4,0,5.413243293762207,8,5.384138107299805,9,5.2881879806518555,8,5.294300317764282,8,2,199.97339332868438
26,2,2,5.209598779678345,9,5.32145357131958,4,5.007793188095093,4,5.297380447387695,4,2,199.96951429885596
83,62,2,5.358203887939453,111,5.1238133907318115,8,5.35900354385376,8,5.6817121505737305,10,1,199.96752704455793
41,8,2,5.347444772720337,14,5.122800350189209,15,5.55237078666687,15,5.251860857009888,15,0,199.97243109321266
17,16,1,5.091797590255737,42,5.139214992523193,3,5.1429502964019775,3,5.125554323196411,3,1,199.9684808727894
39,19,2,5.283018589019775,22,5.629413843154907,5,5.200027704238892,5,5.5387890338897705,5,2,199.96430494938286
66,49,1,5.1559600830078125,139,5.29850697517395,3,5.691346168518066,3,5.025043725967407,3,3,199.99699216881334
70,48,1,5.254734992980957,106,5.478970050811768,11,5.547118902206421,9,5.216341972351074,11,2,199.99818243947627
37,22,3,5.430766820907593,44,6.008358478546143,6,5.157685279846191,6,5.541142702102661,9,2,199.99735703603542
6,3,1,5.644705295562744,9,5.109433650970459,3,5.138613939285278,3,5.178507566452026,3,1,199.9944071720246
86,73,3,5.349600553512573,68,5.7317118644714355,11,5.570740222930908,7,5.837744235992432,12,2,199.99746886796692
93,46,1,5.382211685180664,72,5.238250732421875,12,5.149487495422363,12,5.562421798706055,16,2,199.99320590838622
54,6,2,5.6371424198150635,10,5.087493419647217,9,5.226268529891968,9,5.8325676918029785,9,1,199.999168761126
31,10,2,5.673017263412476,26,5.2164599895477295,3,5.703640937805176,3,5.122919797897339,3,3,199.99610260008745
85,44,2,5.8399035930633545,87,5.458323240280151,12,5.20029878616333,14,5.151150941848755,16,1,199.99754184543386
44,28,2,5.24940824508667,43,5.434725284576416,10,5.262132406234741,8,5.122733116149902,13,2,199.98854089095713
71,70,3,5.575817108154297,160,5.325958490371704,3,5.523949146270752,3,5.151343822479248,3,3,199.99367360938936
2,1,0,4.976275682449341,5,5.188865423202515,2,5.697605133056641,2,5.189733982086182,2,1,199.99221743584422
89,72,1,5.4111716747283936,109,5.088194370269775,8,5.1400346755981445,8,5.2475011348724365,12,1,199.99419901560475
35,29,3,5.170411586761475,73,5.113736152648926,4,5.180826425552368,4,5.114370584487915,10,1,199.97442582016677
24,20,1,5.719357490539551,40,5.268954038619995,1,5.757639408111572,1,5.1783037185668945,1,3,199.99657210368798
76,74,1,5.0905678272247314,198,5.271161079406738,0,5.237541913986206,0,4.998318433761597,0,3,199.99191922467114
41,26,1,5.249835252761841,62,5.29335880279541,2,5.271156549453735,2,5.074837923049927,2,3,199.99596111402275
50,26,1,5.86548924446106,47,5.2663750648498535,12,5.214939594268799,11,5.208862543106079,12,2,199.99921759033643
53,46,1,5.0838401317596436,116,5.169617652893066,6,5.127444505691528,6,5.199067831039429,10,1,199.95781980831728
12,2,1,5.213946580886841,10,5.667882919311523,1,5.242028474807739,1,5.18467116355896,1,3,199.9641521397806
77,73,1,5.252739906311035,149,5.090551137924194,2,5.252504348754883,2,5.122944593429565,10,1,199.96141803263208
74,8,2,5.251295566558838,14,5.170048713684082,14,5.395360231399536,12,5.813078880310059,11,3,199.99317734596895
87,37,1,5.263924598693848,52,5.686167478561401,17,5.1284339427948,11,5.514805793762207,20,2,199.99447122821766
28,2,1,5.179787635803223,11,5.353032112121582,4,5.592599868774414,4,5.262502193450928,4,1,199.99333684065783
62,28,2,5.856940746307373,41,5.08432674407959,15,5.291297912597656,11,5.306283473968506,15,2,199.99595854729887
