cost,depth,tqc3TT,tqc3RT,tqc3Depth,tqc2TT,tqc2RT,tqc2Depth,tqc1TT,tqc1RT,tqc1Depth,tqc0TT,tqc0RT,tqc0Depth
7,4,0.019588947296142578,0.05268454551696777,3.0,0.013487577438354492,0.06296086311340332,3.0,0.01248621940612793,0.0656275749206543,3.0,0.008498191833496094,0.06196451187133789,10.0
7,5,0.011536836624145508,0.04604339599609375,2.0,0.01596832275390625,0.06515955924987793,2.0,0.01352691650390625,0.06597352027893066,2.0,0.010493993759155273,0.06397581100463867,13.0
7,6,0.012527942657470703,0.04298830032348633,3.0,0.015969276428222656,0.06700015068054199,3.0,0.015054464340209961,0.06702065467834473,3.0,0.010536432266235352,0.06390857696533203,12.0
8,1,0.018551111221313477,0.06114006042480469,3.0,0.012514114379882812,0.06503796577453613,3.0,0.010480165481567383,0.06499457359313965,3.0,0.007546901702880859,0.06296229362487793,3.0
8,2,0.01899099349975586,0.06045889854431152,3.0,0.014036893844604492,0.0630791187286377,3.0,0.012495279312133789,0.06657791137695312,3.0,0.006981372833251953,0.06255531311035156,6.0
8,3,0.022540807723999023,0.05414271354675293,5.0,0.012493371963500977,0.062354326248168945,5.0,0.010492563247680664,0.06799745559692383,5.0,0.014000892639160156,0.06897783279418945,5.0
8,4,0.015032529830932617,0.04847836494445801,0.0,0.011492490768432617,0.06161069869995117,0.0,0.010495185852050781,0.0633542537689209,0.0,0.0074884891510009766,0.12206172943115234,12.0
8,5,0.017963647842407227,0.0598759651184082,3.0,0.013535022735595703,0.0631103515625,3.0,0.011491060256958008,0.06810402870178223,3.0,0.006981372833251953,0.07641148567199707,11.0
8,6,0.014004707336425781,0.05308794975280762,1.0,0.017859697341918945,0.06712627410888672,1.0,0.014044761657714844,0.07098817825317383,1.0,0.011492252349853516,0.06556057929992676,14.0
8,7,0.011672258377075195,0.04456043243408203,3.0,0.0164949893951416,0.06420159339904785,3.0,0.01452946662902832,0.06825804710388184,3.0,0.010498762130737305,0.06753754615783691,13.0
9,1,0.020100831985473633,0.058022260665893555,3.0,0.012473821640014648,0.07226014137268066,3.0,0.012487173080444336,0.06586956977844238,3.0,0.008535146713256836,0.06795930862426758,3.0
9,2,0.024579286575317383,0.05360841751098633,2.0,0.019055604934692383,0.0710906982421875,2.0,0.01648712158203125,0.07163071632385254,2.0,0.00950002670288086,0.0679938793182373,6.0
9,3,0.02004265785217285,0.05582761764526367,1.0,0.016093015670776367,0.0693657398223877,1.0,0.01654529571533203,0.06905865669250488,1.0,0.009482383728027344,0.0650627613067627,6.0
9,4,0.025458097457885742,0.053601980209350586,5.0,0.020008087158203125,0.06880450248718262,5.0,0.016518354415893555,0.06765937805175781,6.0,0.016481637954711914,0.06996679306030273,7.0
9,5,0.022516489028930664,0.06496095657348633,3.0,0.018514394760131836,0.06644678115844727,3.0,0.015542745590209961,0.06695914268493652,3.0,0.011495351791381836,0.06609129905700684,13.0
9,6,0.013010978698730469,0.041967153549194336,3.0,0.015080928802490234,0.0635530948638916,3.0,0.014569282531738281,0.06760072708129883,3.0,0.010477304458618164,0.06437897682189941,16.0
9,7,0.009634017944335938,0.09567618370056152,1.0,0.012472391128540039,0.05808520317077637,1.0,0.011475324630737305,0.06426024436950684,1.0,0.008556365966796875,0.06752562522888184,11.0
9,8,0.01369619369506836,0.04192042350769043,3.0,0.01499319076538086,0.06296515464782715,3.0,0.014502763748168945,0.06960558891296387,3.0,0.011474847793579102,0.06807756423950195,22.0
